zip,lat,lon,CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
"227",38.49778,-78.0632,"548","47900","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",M1,"1",G3110,"17010001633","1128154710","+38.7982054","-077.4868816"
"228",38.56491,-78.8009,"277","25500","25500","Harrisonburg, VA","Harrisonburg, VA Metro Area",M1,"1",G3110,"2245851996","10778789","+38.5075848","-078.8853213"
"229",38.02094,-78.5649,,"16820","16820","Charlottesville, VA","Charlottesville, VA Metro Area",M1,"1",G3110,"4259261435","35688522","+37.9490837","-078.5932062"
"230",37.62718,-77.5047,,"40060","40060","Richmond, VA","Richmond, VA Metro Area",M1,"1",G3110,"11300921951","330735784","+37.4113241","-077.4418164"
"231",37.59115,-77.3009,,"40060","40060","Richmond, VA","Richmond, VA Metro Area",M1,"1",G3110,"11300921951","330735784","+37.4113241","-077.4418164"
"232",37.50991,-77.4537,,"40060","40060","Richmond, VA","Richmond, VA Metro Area",M1,"1",G3110,"11300921951","330735784","+37.4113241","-077.4418164"
"233",37.10357,-76.0819,,,,,,,,,,,,
"234",37.02846,-76.2695,"545","47260","47260","Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",M1,"1",G3110,"9143783109","3427599741","+36.8044077","-076.4495261"
"235",36.89329,-76.2611,"545","47260","47260","Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",M1,"1",G3110,"9143783109","3427599741","+36.8044077","-076.4495261"
"236",37.11101,-76.4676,"545","47260","47260","Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",M1,"1",G3110,"9143783109","3427599741","+36.8044077","-076.4495261"
"237",36.84928,-76.3544,"545","47260","47260","Virginia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",M1,"1",G3110,"9143783109","3427599741","+36.8044077","-076.4495261"
"238",36.94983,-77.3948,,"40060","40060","Richmond, VA","Richmond, VA Metro Area",M1,"1",G3110,"11300921951","330735784","+37.4113241","-077.4418164"
"239",37.02957,-78.3851,,,,,,,,,,,,
"240",37.15108,-80.0859,,"40220","40220","Roanoke, VA","Roanoke, VA Metro Area",M1,"1",G3110,"4837012569","72184539","+37.2862262","-079.9469346"
"241",37.07965,-80.1127,,,,,,,,,,,,
"242",36.84146,-82.4787,"304","28700","28700","Kingsport-Bristol, TN-VA","Kingsport-Bristol, TN-VA Metro Area",M1,"1",G3110,"5206814650","96147677","+36.6041611","-082.4401446"
"243",36.8558,-81.1299,,,,,,,,,,,,
"244",38.04003,-79.5278,,,,,,,,,,,,
"245",37.14618,-79.1109,,"31340","31340","Lynchburg, VA","Lynchburg, VA Metro Area",M1,"1",G3110,"5491925727","68559450","+37.3649258","-079.2166894"
"246",37.19314,-81.7969,,,,,,,,,,,,
"247",37.40283,-81.1691,,"14140","14140","Bluefield, WV-VA","Bluefield, WV-VA Micro Area",M2,"2",G3110,"3355079253","9910955","+37.2084876","-081.3348396"
"248",37.4703,-81.6455,,,,,,,,,,,,
"249",37.96808,-80.3083,,,,,,,,,,,,
"250",38.30369,-81.4389,"170","16620","16620","Charleston, WV","Charleston, WV Metro Area",M1,"1",G3110,"6854414859","56072912","+38.3551769","-081.6203407"
"251",38.31894,-81.5915,"170","16620","16620","Charleston, WV","Charleston, WV Metro Area",M1,"1",G3110,"6854414859","56072912","+38.3551769","-081.6203407"
"252",38.68654,-81.4698,,,,,,,,,,,,
"253",38.39504,-81.63,"170","16620","16620","Charleston, WV","Charleston, WV Metro Area",M1,"1",G3110,"6854414859","56072912","+38.3551769","-081.6203407"
"254",39.44944,-78.102,"548","25180","25180","Hagerstown-Martinsburg, MD-WV","Hagerstown-Martinsburg, MD-WV Metro Area",M1,"1",G3110,"2610678017","27260732","+39.5544327","-077.9845935"
"255",38.26622,-82.1837,"170","16620","16620","Charleston, WV","Charleston, WV Metro Area",M1,"1",G3110,"6854414859","56072912","+38.3551769","-081.6203407"
"256",37.76243,-82.0483,"170","34350","34350","Mount Gay-Shamrock, WV","Mount Gay-Shamrock, WV Micro Area",M2,"2",G3110,"1175258983","4780836","+37.8305905","-081.9408530"
"257",38.37816,-82.4254,"170","26580","26580","Huntington-Ashland, WV-KY-OH","Huntington-Ashland, WV-KY-OH Metro Area",M1,"1",G3110,"6474710090","94526967","+38.4065772","-082.5426456"
"258",37.83392,-81.1518,,"13220","13220","Beckley, WV","Beckley, WV Metro Area",M1,"1",G3110,"3281438992","27775053","+37.9053245","-081.1644363"
"259",37.81252,-80.9447,,"13220","13220","Beckley, WV","Beckley, WV Metro Area",M1,"1",G3110,"3281438992","27775053","+37.9053245","-081.1644363"
"260",40.05253,-80.6328,,"48540","48540","Wheeling, WV-OH","Wheeling, WV-OH Metro Area",M1,"1",G3110,"2443361485","49381782","+39.9755090","-080.8470113"
"261",39.21434,-81.2597,,,,,,,,,,,,
"262",38.75663,-80.0273,,"21180","21180","Elkins, WV","Elkins, WV Micro Area",M2,"2",G3110,"2692810851","667359","+38.7810953","-079.8677881"
"263",39.1753,-80.5688,,"17220","17220","Clarksburg, WV","Clarksburg, WV Micro Area",M2,"2",G3110,"2353008390","10803695","+39.2883500","-080.4315298"
"264",39.21735,-80.4202,,"17220","17220","Clarksburg, WV","Clarksburg, WV Micro Area",M2,"2",G3110,"2353008390","10803695","+39.2883500","-080.4315298"
"265",39.58634,-80.0551,"390","34060","34060","Morgantown, WV","Morgantown, WV Metro Area",M1,"1",G3110,"2613050897","21661985","+39.5251551","-079.8019121"
"266",38.47661,-80.8061,,,,,,,,,,,,
"267",39.32928,-78.9892,,"19060","19060","Cumberland, MD-WV","Cumberland, MD-WV Metro Area",M1,"1",G3110,"1942634638","18304844","+39.5321854","-078.8070822"
"268",38.88664,-79.0927,,,,,,,,,,,,
"270",36.24695,-80.4468,"268","49180","49180","Winston-Salem, NC","Winston-Salem, NC Metro Area",M1,"1",G3110,"5202351920","81366294","+36.0788515","-080.3450642"
"271",36.07365,-80.2465,"268","49180","49180","Winston-Salem, NC","Winston-Salem, NC Metro Area",M1,"1",G3110,"5202351920","81366294","+36.0788515","-080.3450642"
"272",35.8576,-79.7124,"268","24660","24660","Greensboro-High Point, NC","Greensboro-High Point, NC Metro Area",M1,"1",G3110,"5164166165","68541349","+36.0252039","-079.7926333"
"273",35.82823,-79.569,"268","24660","24660","Greensboro-High Point, NC","Greensboro-High Point, NC Metro Area",M1,"1",G3110,"5164166165","68541349","+36.0252039","-079.7926333"
"274",36.07095,-79.8171,"268","24660","24660","Greensboro-High Point, NC","Greensboro-High Point, NC Metro Area",M1,"1",G3110,"5164166165","68541349","+36.0252039","-079.7926333"
"275",35.93283,-78.545,"450","39580","39580","Raleigh-Cary, NC","Raleigh-Cary, NC Metro Area",M1,"1",G3110,"5485205355","76826615","+35.7567464","-078.4604412"
"276",35.80872,-78.6387,"450","39580","39580","Raleigh-Cary, NC","Raleigh-Cary, NC Metro Area",M1,"1",G3110,"5485205355","76826615","+35.7567464","-078.4604412"
"277",35.99707,-78.8872,"450","20500","20500","Durham-Chapel Hill, NC","Durham-Chapel Hill, NC Metro Area",M1,"1",G3110,"5931305968","154624603","+36.0605886","-078.9897875"
"278",35.86793,-77.2855,,,,,,,,,,,,
"279",36.09986,-76.4173,"545","21020","21020","Elizabeth City, NC","Elizabeth City, NC Micro Area",M2,"2",G3110,"1227785818","373504973","+36.1968134","-076.3426012"
"280",35.36117,-81.0001,"172","16740","16740","Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC Metro Area",M1,"1",G3110,"14495628697","302851379","+35.1663423","-080.7972848"
"281",35.24964,-80.7451,"172","16740","16740","Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC Metro Area",M1,"1",G3110,"14495628697","302851379","+35.1663423","-080.7972848"
"282",35.21093,-80.8305,"172","16740","16740","Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC Metro Area",M1,"1",G3110,"14495628697","302851379","+35.1663423","-080.7972848"
"283",34.955,-78.9275,"246","22180","22180","Fayetteville, NC","Fayetteville, NC Metro Area",M1,"1",G3110,"4241646488","35598509","+35.1559863","-078.9318500"
"284",34.38348,-78.2227,,"48900","48900","Wilmington, NC","Wilmington, NC Metro Area",M1,"1",G3110,"2754572932","516647220","+34.4260331","-077.8896340"
"285",35.04257,-77.2224,"404","35100","35100","New Bern, NC","New Bern, NC Metro Area",M1,"1",G3110,"3922397681","761870630","+35.1168292","-077.0813197"
"286",36.05915,-81.3514,,"35900","35900","North Wilkesboro, NC","North Wilkesboro, NC Micro Area",M2,"2",G3110,"1954249757","6862433","+36.2088833","-081.1660949"
"287",35.50449,-82.8244,"120","11700","11700","Asheville, NC","Asheville, NC Metro Area",M1,"1",G3110,"5264448603","21769667","+35.5956693","-082.6816145"
"288",35.5803,-82.5524,"120","11700","11700","Asheville, NC","Asheville, NC Metro Area",M1,"1",G3110,"5264448603","21769667","+35.5956693","-082.6816145"
"289",35.10927,-83.963,,,,,,,,,,,,
"290",34.00482,-80.8217,"192","17900","17900","Columbia, SC","Columbia, SC Metro Area",M1,"1",G3110,"9591599178","338696351","+34.0775845","-081.0378453"
"291",33.9231,-80.8895,"192","17900","17900","Columbia, SC","Columbia, SC Metro Area",M1,"1",G3110,"9591599178","338696351","+34.0775845","-081.0378453"
"292",34.05481,-80.97,"192","17900","17900","Columbia, SC","Columbia, SC Metro Area",M1,"1",G3110,"9591599178","338696351","+34.0775845","-081.0378453"
"293",34.7815,-81.8634,"273","43900","43900","Spartanburg, SC","Spartanburg, SC Metro Area",M1,"1",G3110,"2092048331","29186811","+34.9332708","-081.9910522"
"294",33.05803,-80.0868,,"16700","16700","Charleston-North Charleston, SC","Charleston-North Charleston, SC Metro Area",M1,"1",G3110,"6708606016","1483664805","+33.0180695","-080.0075006"
"295",34.06564,-79.499,,,,,,,,,,,,
"296",34.60949,-82.5689,"273","24860","24860","Greenville-Anderson, SC","Greenville-Anderson, SC Metro Area",M1,"1",G3110,"7018159384","200250003","+34.6837085","-082.4134227"
"297",34.83642,-80.9362,"172","16740","16740","Charlotte-Concord-Gastonia, NC-SC","Charlotte-Concord-Gastonia, NC-SC Metro Area",M1,"1",G3110,"14495628697","302851379","+35.1663423","-080.7972848"
"298",33.49329,-81.731,,"12260","12260","Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",M1,"1",G3110,"9015028913","262514053","+33.4603713","-081.9828327"
"299",32.54423,-80.9532,,"25940","25940","Hilton Head Island-Bluffton, SC","Hilton Head Island-Bluffton, SC Metro Area",M1,"1",G3110,"3189082863","1019806214","+32.3867916","-080.8308775"
"300",33.84902,-84.0648,"122","12060","12060","Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",M1,"1",G3110,"22494938651","387716575","+33.6937280","-084.3999113"
"301",34.0405,-84.9071,"122","12060","12060","Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",M1,"1",G3110,"22494938651","387716575","+33.6937280","-084.3999113"
"302",33.24131,-84.5459,"122","12060","12060","Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",M1,"1",G3110,"22494938651","387716575","+33.6937280","-084.3999113"
"303",33.77258,-84.4231,"122","12060","12060","Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Alpharetta, GA Metro Area",M1,"1",G3110,"22494938651","387716575","+33.6937280","-084.3999113"
"304",32.4894,-82.1079,,,,,,,,,,,,
"305",34.57912,-83.8014,,,,,,,,,,,,
"306",33.85902,-83.1373,"122","12020","12020","Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",M1,"1",G3110,"2654601832","26140309","+33.9439840","-083.2138965"
"307",34.70861,-85.1093,"174","16860","16860","Chattanooga, TN-GA","Chattanooga, TN-GA Metro Area",M1,"1",G3110,"5410495665","126467844","+35.0493612","-085.3611582"
"308",33.35721,-82.3429,,"12260","12260","Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",M1,"1",G3110,"9015028913","262514053","+33.4603713","-081.9828327"
"309",33.3964,-82.0669,,"12260","12260","Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",M1,"1",G3110,"9015028913","262514053","+33.4603713","-081.9828327"
"310",32.63239,-83.4067,"356","31420","31420","Macon-Bibb County, GA","Macon-Bibb County, GA Metro Area",M1,"1",G3110,"4464115654","36457662","+32.8562163","-083.7143050"
"312",32.83593,-83.6346,"356","31420","31420","Macon-Bibb County, GA","Macon-Bibb County, GA Metro Area",M1,"1",G3110,"4464115654","36457662","+32.8562163","-083.7143050"
"313",31.90951,-81.4827,"496","25980","25980","Hinesville, GA","Hinesville, GA Metro Area",M1,"1",G3110,"2374665905","231741565","+31.7787881","-081.5764801"
"314",31.99268,-81.116,"496","42340","42340","Savannah, GA","Savannah, GA Metro Area",M1,"1",G3110,"3495144661","564230506","+32.1091533","-081.2731066"
"315",31.29598,-82.1927,,"48180","48180","Waycross, GA","Waycross, GA Micro Area",M2,"2",G3110,"3210741327","29895759","+31.1331137","-082.3686504"
"316",30.96753,-83.0964,,"46660","46660","Valdosta, GA","Valdosta, GA Metro Area",M1,"1",G3110,"4162853252","55936619","+30.8271579","-083.2435547"
"317",31.48155,-83.8596,,"10500","10500","Albany, GA","Albany, GA Metro Area",M1,"1",G3110,"4120611855","46222654","+31.6444531","-084.1119078"
"318",32.44897,-84.6898,"194","17980","17980","Columbus, GA-AL","Columbus, GA-AL Metro Area",M1,"1",G3110,"7216623630","82416597","+32.4193768","-084.8437095"
"319",32.43203,-84.8442,"194","17980","17980","Columbus, GA-AL","Columbus, GA-AL Metro Area",M1,"1",G3110,"7216623630","82416597","+32.4193768","-084.8437095"
"320",30.21771,-82.4199,"300","27260","27260","Jacksonville, FL","Jacksonville, FL Metro Area",M1,"1",G3110,"8292416990","1286478563","+30.2365943","-081.7544462"
"321",29.36467,-81.5188,"300","37260","37260","Palatka, FL","Palatka, FL Micro Area",M2,"2",G3110,"1885167063","256548276","+29.5938964","-081.7320389"
"322",30.30493,-81.6869,"300","27260","27260","Jacksonville, FL","Jacksonville, FL Metro Area",M1,"1",G3110,"8292416990","1286478563","+30.2365943","-081.7544462"
"323",30.25485,-84.1997,,"45220","45220","Tallahassee, FL","Tallahassee, FL Metro Area",M1,"1",G3110,"6184099863","556556962","+30.3864255","-084.2804096"
"324",30.52667,-85.5732,,,,,,,,,,,,
"325",30.71702,-86.9355,"426","37860","37860","Pensacola-Ferry Pass-Brent, FL","Pensacola-Ferry Pass-Brent, FL Metro Area",M1,"1",G3110,"4323603530","981940004","+30.6554013","-087.1618275"
"326",29.58229,-82.6065,"264","23540","23540","Gainesville, FL","Gainesville, FL Metro Area",M1,"1",G3110,"6069523396","1018865181","+29.4807065","-082.6274667"
"327",28.80307,-81.2885,"422","36740","36740","Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL Metro Area",M1,"1",G3110,"9037795130","1352006478","+28.4343962","-081.3560839"
"328",28.5072,-81.1723,"422","36740","36740","Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL Metro Area",M1,"1",G3110,"9037795130","1352006478","+28.4343962","-081.3560839"
"329",27.96772,-80.6464,,"37340","37340","Palm Bay-Melbourne-Titusville, FL","Palm Bay-Melbourne-Titusville, FL Metro Area",M1,"1",G3110,"2628793422","1403880653","+28.2983112","-080.7003334"
"330",25.53167,-80.5414,"370","33100","33100","Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",M1,"1",G3110,"13123323711","2771846854","+26.1018281","-080.4787552"
"331",25.78074,-80.5089,"370","33100","33100","Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",M1,"1",G3110,"13123323711","2771846854","+26.1018281","-080.4787552"
"333",26.11902,-80.2636,"370","33100","33100","Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",M1,"1",G3110,"13123323711","2771846854","+26.1018281","-080.4787552"
"334",26.72116,-80.6895,"370","33100","33100","Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",M1,"1",G3110,"13123323711","2771846854","+26.1018281","-080.4787552"
"335",28.20484,-82.2103,,"45300","45300","Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area",M1,"1",G3110,"6514447222","2113705048","+28.1259071","-082.4652858"
"336",28.01393,-82.4567,,"45300","45300","Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area",M1,"1",G3110,"6514447222","2113705048","+28.1259071","-082.4652858"
"337",27.85657,-82.7232,,"45300","45300","Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area",M1,"1",G3110,"6514447222","2113705048","+28.1259071","-082.4652858"
"338",27.72654,-81.6294,"422","29460","29460","Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL Metro Area",M1,"1",G3110,"4655603728","551339930","+27.9536488","-081.6935337"
"339",26.75365,-81.6936,"163","15980","15980","Cape Coral-Fort Myers, FL","Cape Coral-Fort Myers, FL Metro Area",M1,"1",G3110,"2023963480","1116067200","+26.5590348","-081.8919943"
"341",26.13525,-81.342,"163","34940","34940","Naples-Marco Island, FL","Naples-Marco Island, FL Metro Area",M1,"1",G3110,"5172045734","797817705","+26.1187860","-081.4009553"
"342",27.28927,-82.149,"412","35840","35840","North Port-Sarasota-Bradenton, FL","North Port-Sarasota-Bradenton, FL Metro Area",M1,"1",G3110,"3365993000","824649346","+27.3642461","-082.3193579"
"344",29.03275,-82.3808,,"36100","36100","Ocala, FL","Ocala, FL Metro Area",M1,"1",G3110,"4113978836","192297049","+29.2028047","-082.0431004"
"346",28.40845,-82.5259,,"45300","45300","Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area",M1,"1",G3110,"6514447222","2113705048","+28.1259071","-082.4652858"
"347",28.26185,-81.3893,"422","36740","36740","Orlando-Kissimmee-Sanford, FL","Orlando-Kissimmee-Sanford, FL Metro Area",M1,"1",G3110,"9037795130","1352006478","+28.4343962","-081.3560839"
"349",27.23281,-80.7277,,"36380","36380","Okeechobee, FL","Okeechobee, FL Micro Area",M2,"2",G3110,"1992107752","317943020","+27.3855924","-080.8873884"
"350",33.46211,-86.6837,"142","13820","13820","Birmingham-Hoover, AL","Birmingham-Hoover, AL Metro Area",M1,"1",G3110,"11625222232","196982372","+33.4025986","-086.7295151"
"351",33.44329,-86.5257,"142","13820","13820","Birmingham-Hoover, AL","Birmingham-Hoover, AL Metro Area",M1,"1",G3110,"11625222232","196982372","+33.4025986","-086.7295151"
"352",33.50159,-86.7699,"142","13820","13820","Birmingham-Hoover, AL","Birmingham-Hoover, AL Metro Area",M1,"1",G3110,"11625222232","196982372","+33.4025986","-086.7295151"
"354",33.0753,-87.8561,,"46220","46220","Tuscaloosa, AL","Tuscaloosa, AL Metro Area",M1,"1",G3110,"9047383849","167284419","+33.0978758","-087.7991533"
"355",33.95425,-87.7087,,,,,,,,,,,,
"356",34.6691,-87.4031,"290","19460","19460","Decatur, AL","Decatur, AL Metro Area",M1,"1",G3110,"3290021083","119059621","+34.4893614","-087.0971469"
"357",34.74807,-86.2701,"497","42460","42460","Scottsboro, AL","Scottsboro, AL Micro Area",M2,"2",G3110,"2791974032","126334709","+34.7641140","-085.9800556"
"358",34.69576,-86.5948,"290","26620","26620","Huntsville, AL","Huntsville, AL Metro Area",M1,"1",G3110,"3526389847","151140377","+34.7832617","-086.7348706"
"359",34.27337,-85.9281,"497","22840","22840","Fort Payne, AL","Fort Payne, AL Micro Area",M2,"2",G3110,"2012676480","4121543","+34.4609290","-085.8039920"
"360",32.08272,-86.0955,"388","33860","33860","Montgomery, AL","Montgomery, AL Metro Area",M1,"1",G3110,"7029590158","187131450","+32.3656313","-086.4045848"
"361",32.3203,-86.2736,"388","33860","33860","Montgomery, AL","Montgomery, AL Metro Area",M1,"1",G3110,"7029590158","187131450","+32.3656313","-086.4045848"
"362",33.52458,-85.6485,,,,,,,,,,,,
"363",31.33895,-85.5543,"222","37120","37120","Ozark, AL","Ozark, AL Micro Area",M2,"2",G3110,"1453244559","4082940","+31.4306536","-085.6094760"
"364",31.36896,-86.9619,,,,,,,,,,,,
"365",31.04263,-87.9474,"380","33660","33660","Mobile, AL","Mobile, AL Metro Area",M1,"1",G3110,"5981878672","1095579401","+30.9715095","-088.2078700"
"366",30.6905,-88.1932,"380","33660","33660","Mobile, AL","Mobile, AL Metro Area",M1,"1",G3110,"5981878672","1095579401","+30.9715095","-088.2078700"
